Away_Team,Home_Team,Date,Ref_Crew,Accepted_Count,Yards,Away_Count,Away_Yards,Home_Count,Home_Yards,Total_Flags,Week,Year
Dallas,Green Bay,11/15/2009,Jeff Triplette,22,167,10,67,12,100,27,10,2009
Philadelphia,San Diego,11/15/2009,Jerome Boger,12,101,9,70,3,31,14,10,2009
New England,Indianapolis,11/15/2009,Scott Green,7,92,4,72,3,20,8,10,2009
Baltimore,Cleveland,11/16/2009,Carl Cheffers,13,95,7,43,6,52,17,10,2009
Miami,Carolina,11/19/2009,Walt Anderson,9,65,5,30,4,35,9,11,2009
Indianapolis,Baltimore,11/22/2009,John Parry,7,60,5,40,2,20,7,11,2009
Washington,Dallas,11/22/2009,Al Riveron,11,62,5,27,6,35,13,11,2009
Cleveland,Detroit,11/22/2009,Terry McAulay,16,110,8,69,8,41,17,11,2009
San Francisco,Green Bay,11/22/2009,Scott Green,10,94,4,30,6,64,11,11,2009
Buffalo,Jacksonville,11/22/2009,Mike Carey,12,93,6,43,6,50,13,11,2009
Pittsburgh,Kansas City,11/22/2009,Carl Cheffers,12,113,8,85,4,28,13,11,2009
Seattle,Minnesota,11/22/2009,Ed Hochuli,15,95,10,64,5,31,18,11,2009
Atlanta,N.Y. Giants,11/22/2009,Gene Steratore,11,80,3,16,8,64,16,11,2009
New Orleans,Tampa Bay,11/22/2009,Walt Coleman,7,73,4,55,3,18,7,11,2009
Arizona,St. Louis,11/22/2009,Bill Leavy,13,90,6,40,7,50,15,11,2009
San Diego,Denver,11/22/2009,Ron Winter,10,80,1,15,9,65,14,11,2009
N.Y. Jets,New England,11/22/2009,Jeff Triplette,11,79,5,28,6,51,14,11,2009
Cincinnati,Oakland,11/22/2009,Don Carey,11,72,8,59,3,13,12,11,2009
Philadelphia,Chicago,11/22/2009,Tony Corrente,15,110,8,46,7,64,15,11,2009
Tennessee,Houston,11/23/2009,Jerome Boger,12,97,5,25,7,72,14,11,2009
Green Bay,Detroit,11/26/2009,Bill Leavy,10,85,7,57,3,28,10,12,2009
Oakland,Dallas,11/26/2009,Carl Cheffers,13,118,7,70,6,48,14,12,2009
N.Y. Giants,Denver,11/26/2009,Tony Corrente,12,106,4,45,8,61,16,12,2009
Tampa Bay,Atlanta,11/29/2009,Walt Anderson,11,81,8,52,3,29,16,12,2009
Miami,Buffalo,11/29/2009,Jeff Triplette,9,70,6,50,3,20,11,12,2009
Cleveland,Cincinnati,11/29/2009,Mike Carey,14,105,4,30,10,75,16,12,2009
Indianapolis,Houston,11/29/2009,Al Riveron,13,154,3,25,10,129,13,12,2009
Chicago,Minnesota,11/29/2009,Walt Coleman,16,114,6,44,10,70,20,12,2009
Carolina,N.Y. Jets,11/29/2009,Jerome Boger,8,54,5,30,3,24,10,12,2009
Washington,Philadelphia,11/29/2009,Gene Steratore,14,99,7,39,7,60,18,12,2009
Seattle,St. Louis,11/29/2009,Scott Green,11,87,7,52,4,35,12,12,2009
Arizona,Tennessee,11/29/2009,Terry McAulay,10,63,4,25,6,38,10,12,2009
Kansas City,San Diego,11/29/2009,Don Carey,13,80,5,25,8,55,15,12,2009
Jacksonville,San Francisco,11/29/2009,John Parry,7,65,6,60,1,5,8,12,2009
Pittsburgh,Baltimore,11/29/2009,Ed Hochuli,14,139,5,59,9,80,16,12,2009
New England,New Orleans,11/30/2009,Pete Morelli,4,36,0,0,4,36,7,12,2009
N.Y. Jets,Buffalo,12/03/2009,Scott Green,4,23,3,18,1,5,4,13,2009
Philadelphia,Atlanta,12/06/2009,Ed Hochuli,14,92,8,62,6,30,20,13,2009
Tampa Bay,Carolina,12/06/2009,Don Carey,10,87,5,50,5,37,13,13,2009
St. Louis,Chicago,12/06/2009,Pete Morelli,10,120,6,85,4,35,10,13,2009
Detroit,Cincinnati,12/06/2009,Tony Corrente,16,120,7,45,9,75,20,13,2009
Tennessee,Indianapolis,12/06/2009,Ron Winter,9,90,4,50,5,40,9,13,2009
Houston,Jacksonville,12/06/2009,Terry McAulay,10,82,6,37,4,45,10,13,2009
Denver,Kansas City,12/06/2009,Jeff Triplette,6,45,3,20,3,25,10,13,2009
Oakland,Pittsburgh,12/06/2009,Jerome Boger,13,111,9,70,4,41,16,13,2009
New Orleans,Washington,12/06/2009,Carl Cheffers,9,117,7,102,2,15,10,13,2009
San Diego,Cleveland,12/06/2009,Walt Coleman,5,35,1,5,4,30,10,13,2009
Minnesota,Arizona,12/06/2009,John Parry,12,100,6,50,6,50,16,13,2009
Dallas,N.Y. Giants,12/06/2009,Bill Leavy,7,40,5,30,2,10,11,13,2009
San Francisco,Seattle,12/06/2009,Al Riveron,12,105,8,57,4,48,13,13,2009
New England,Miami,12/06/2009,Gene Steratore,8,92,6,82,2,10,10,13,2009
Baltimore,Green Bay,12/07/2009,Walt Anderson,23,310,12,135,11,175,24,13,2009
Pittsburgh,Cleveland,12/10/2009,Ron Winter,10,95,4,40,6,55,10,14,2009
New Orleans,Atlanta,12/13/2009,Tony Corrente,10,114,6,59,4,55,12,14,2009
Detroit,Baltimore,12/13/2009,Don Carey,9,90,4,40,5,50,10,14,2009
Green Bay,Chicago,12/13/2009,Mike Carey,17,139,4,30,13,109,18,14,2009
Seattle,Houston,12/13/2009,Pete Morelli,11,98,7,63,4,35,11,14,2009
Denver,Indianapolis,12/13/2009,Bill Leavy,11,85,7,65,4,20,11,14,2009
Miami,Jacksonville,12/13/2009,Walt Coleman,6,37,4,27,2,10,8,14,2009
Buffalo,Kansas City,12/13/2009,Al Riveron,8,83,3,40,5,43,11,14,2009
Cincinnati,Minnesota,12/13/2009,Scott Green,20,154,11,85,9,69,23,14,2009
Carolina,New England,12/13/2009,Terry McAulay,13,117,9,92,4,25,17,14,2009
N.Y. Jets,Tampa Bay,12/13/2009,Carl Cheffers,12,97,6,63,6,34,15,14,2009
St. Louis,Tennessee,12/13/2009,Jeff Triplette,14,122,10,82,4,40,19,14,2009
Washington,Oakland,12/13/2009,Walt Anderson,21,163,7,45,14,118,23,14,2009
San Diego,Dallas,12/13/2009,Gene Steratore,11,92,5,24,6,68,11,14,2009
Philadelphia,N.Y. Giants,12/13/2009,John Parry,13,99,6,45,7,54,16,14,2009
Arizona,San Francisco,12/14/2009,Jerome Boger,18,133,11,78,7,55,18,14,2009
Indianapolis,Jacksonville,12/17/2009,Walt Anderson,9,62,5,40,4,22,11,15,2009
Dallas,New Orleans,12/19/2009,Terry McAulay,10,79,6,49,4,30,11,15,2009
Chicago,Baltimore,12/20/2009,Bill Leavy,5,35,1,9,4,26,10,15,2009
New England,Buffalo,12/20/2009,Tony Corrente,17,176,6,52,11,124,18,15,2009
Arizona,Detroit,12/20/2009,Jeff Triplette,15,110,8,65,7,45,19,15,2009
Cleveland,Kansas City,12/20/2009,Gene Steratore,6,54,3,20,3,34,9,15,2009
Atlanta,N.Y. Jets,12/20/2009,Ron Winter,10,90,4,25,6,65,12,15,2009
San Francisco,Philadelphia,12/20/2009,Don Carey,12,124,8,55,4,69,15,15,2009
Green Bay,Pittsburgh,12/20/2009,John Parry,17,137,7,53,10,84,20,15,2009
Houston,St. Louis,12/20/2009,Ed Hochuli,7,45,4,30,3,15,10,15,2009
Miami,Tennessee,12/20/2009,Scott Green,12,106,8,60,4,46,14,15,2009
Oakland,Denver,12/20/2009,Al Riveron,16,134,9,62,7,72,16,15,2009
Cincinnati,San Diego,12/20/2009,Carl Cheffers,13,85,9,55,4,30,14,15,2009
Tampa Bay,Seattle,12/20/2009,Mike Carey,12,85,6,35,6,50,13,15,2009
Minnesota,Carolina,12/20/2009,Pete Morelli,11,94,5,45,6,49,12,15,2009
N.Y. Giants,Washington,12/21/2009,Walt Coleman,9,67,3,15,6,52,10,15,2009
San Diego,Tennessee,12/25/2009,Tony Corrente,15,119,6,45,9,74,15,16,2009
Buffalo,Atlanta,12/27/2009,Bill Leavy,16,130,10,60,6,70,17,16,2009
Kansas City,Cincinnati,12/27/2009,Ed Hochuli,12,76,6,40,6,36,13,16,2009
Oakland,Cleveland,12/27/2009,Jeff Triplette,19,190,13,126,6,64,24,16,2009
Seattle,Green Bay,12/27/2009,Walt Coleman,13,136,8,86,5,50,15,16,2009
Houston,Miami,12/27/2009,Ron Winter,7,45,3,15,4,30,10,16,2009
Carolina,N.Y. Giants,12/27/2009,Scott Green,8,49,4,20,4,29,11,16,2009
Jacksonville,New England,12/27/2009,Don Carey,3,15,1,5,2,10,3,16,2009
Tampa Bay,New Orleans,12/27/2009,Jerome Boger,9,56,7,42,2,14,11,16,2009
Denver,Philadelphia,12/27/2009,Mike Carey,18,154,9,95,9,59,20,16,2009
Baltimore,Pittsburgh,12/27/2009,Pete Morelli,15,133,11,113,4,20,17,16,2009
St. Louis,Arizona,12/27/2009,Al Riveron,7,35,4,20,3,15,9,16,2009
Detroit,San Francisco,12/27/2009,Walt Anderson,5,39,1,10,4,29,6,16,2009
N.Y. Jets,Indianapolis,12/27/2009,Terry McAulay,8,67,5,52,3,15,8,16,2009
Dallas,Washington,12/27/2009,John Parry,8,54,4,21,4,33,8,16,2009
Minnesota,Chicago,12/28/2009,Gene Steratore,7,78,4,47,3,31,10,16,2009
Indianapolis,Buffalo,01/03/2010,Don Carey,7,55,3,15,4,40,7,17,2009
New Orleans,Carolina,01/03/2010,Al Riveron,7,64,4,35,3,29,8,17,2009
Jacksonville,Cleveland,01/03/2010,Pete Morelli,6,35,3,20,3,15,6,17,2009
Philadelphia,Dallas,01/03/2010,Ron Winter,17,138,6,58,11,80,18,17,2009
Chicago,Detroit,01/03/2010,Jerome Boger,11,70,5,35,6,35,12,17,2009
New England,Houston,01/03/2010,John Parry,9,90,4,55,5,35,9,17,2009
Pittsburgh,Miami,01/03/2010,Bill Leavy,8,85,5,40,3,45,12,17,2009
N.Y. Giants,Minnesota,01/03/2010,Terry McAulay,21,140,13,95,8,45,21,17,2009
Cincinnati,N.Y. Jets,01/03/2010,Walt Anderson,11,64,7,44,4,20,13,17,2009
San Francisco,St. Louis,01/03/2010,Mike Carey,13,90,6,40,7,50,17,17,2009
Atlanta,Tampa Bay,01/03/2010,Gene Steratore,8,66,3,15,5,51,10,17,2009
Green Bay,Arizona,01/03/2010,Carl Cheffers,11,95,4,19,7,76,11,17,2009
Kansas City,Denver,01/03/2010,Scott Green,10,130,5,76,5,54,12,17,2009
Baltimore,Oakland,01/03/2010,Tony Corrente,10,67,5,37,5,30,10,17,2009
Washington,San Diego,01/03/2010,Jeff Triplette,5,31,3,14,2,17,5,17,2009
Tennessee,Seattle,01/03/2010,Ed Hochuli,14,116,9,76,5,40,16,17,2009
Minnesota,New Orleans,09/09/2010,Terry McAulay,9,80,6,60,3,20,15,1,2010
Cleveland,Tampa Bay,09/12/2010,Jeff Triplette,11,102,5,47,6,55,16,1,2010
Miami,Buffalo,09/12/2010,Clete Blakeman,8,50,3,15,5,35,8,1,2010
Cincinnati,New England,09/12/2010,Carl Cheffers,8,35,2,5,6,30,8,1,2010
Indianapolis,Houston,09/12/2010,Ed Hochuli,12,123,5,73,7,50,15,1,2010
Denver,Jacksonville,09/12/2010,Walt Coleman,12,117,7,70,5,47,13,1,2010
Oakland,Tennessee,09/12/2010,Bill Leavy,18,158,10,77,8,81,20,1,2010
Carolina,N.Y. Giants,09/12/2010,Jerome Boger,16,158,7,63,9,95,18,1,2010
Detroit,Chicago,09/12/2010,Gene Steratore,16,140,7,40,9,100,16,1,2010
Arizona,St. Louis,09/12/2010,Al Riveron,15,112,10,72,5,40,19,1,2010
Atlanta,Pittsburgh,09/12/2010,Scott Green,7,49,3,24,4,25,8,1,2010
Green Bay,Philadelphia,09/12/2010,John Parry,12,95,2,15,10,80,12,1,2010
San Francisco,Seattle,09/12/2010,Mike Carey,13,95,8,60,5,35,16,1,2010
Dallas,Washington,09/12/2010,Tony Corrente,17,133,12,91,5,42,21,1,2010
Baltimore,N.Y. Jets,09/13/2010,Walt Anderson,19,163,5,38,14,125,22,1,2010
San Diego,Kansas City,09/13/2010,Pete Morelli,8,65,5,30,3,35,8,1,2010
Houston,Washington,09/19/2010,Jeff Triplette,12,103,5,45,7,58,13,2,2010
Buffalo,Green Bay,09/19/2010,Ron Winter,10,84,4,35,6,49,14,2,2010
Miami,Minnesota,09/19/2010,Mike Carey,9,59,2,15,7,44,16,2,2010
Kansas City,Cleveland,09/19/2010,Carl Cheffers,13,108,4,30,9,78,14,2,2010
Pittsburgh,Tennessee,09/19/2010,John Parry,16,107,5,35,11,72,21,2,2010
Chicago,Dallas,09/19/2010,Scott Green,8,60,2,10,6,50,10,2,2010
Philadelphia,Detroit,09/19/2010,Clete Blakeman,18,126,9,75,9,51,21,2,2010
Arizona,Atlanta,09/19/2010,Jerome Boger,16,184,10,109,6,75,22,2,2010
Tampa Bay,Carolina,09/19/2010,Walt Coleman,8,78,4,30,4,48,11,2,2010
Seattle,Denver,09/19/2010,Walt Anderson,10,99,7,64,3,35,11,2,2010
St. Louis,Oakland,09/19/2010,Tony Corrente,20,182,8,92,12,90,22,2,2010
New England,N.Y. Jets,09/19/2010,Ed Hochuli,12,137,6,79,6,58,12,2,2010
Baltimore,Cincinnati,09/19/2010,Gene Steratore,14,101,5,45,9,56,18,2,2010
Jacksonville,San Diego,09/19/2010,Terry McAulay,9,58,5,33,4,25,9,2,2010
N.Y. Giants,Indianapolis,09/19/2010,Bill Leavy,9,80,3,25,6,55,11,2,2010
New Orleans,San Francisco,09/20/2010,Al Riveron,10,94,5,54,5,40,13,2,2010
Tennessee,N.Y. Giants,09/26/2010,Tony Corrente,19,166,8,80,11,86,22,3,2010
Cincinnati,Carolina,09/26/2010,Pete Morelli,14,114,8,69,6,45,14,3,2010
Pittsburgh,Tampa Bay,09/26/2010,Bill Leavy,6,65,2,20,4,45,8,3,2010
Buffalo,New England,09/26/2010,John Parry,10,80,6,45,4,35,10,3,2010
Cleveland,Baltimore,09/26/2010,Scott Green,16,120,8,60,8,60,17,3,2010
Detroit,Minnesota,09/26/2010,Ed Hochuli,20,167,8,67,12,100,25,3,2010
Atlanta,New Orleans,09/26/2010,Walt Anderson,10,78,6,40,4,38,11,3,2010
Washington,St. Louis,09/26/2010,Walt Coleman,18,164,9,65,9,99,23,3,2010
Dallas,Houston,09/26/2010,Carl Cheffers,13,81,8,49,5,32,22,3,2010
San Francisco,Kansas City,09/26/2010,Clete Blakeman,13,95,6,55,7,40,13,3,2010
Philadelphia,Jacksonville,09/26/2010,Jeff Triplette,11,151,7,84,4,67,14,3,2010
Indianapolis,Denver,09/26/2010,Al Riveron,10,87,4,27,6,60,11,3,2010
Oakland,Arizona,09/26/2010,Mike Carey,18,227,11,123,7,104,20,3,2010
San Diego,Seattle,09/26/2010,Ron Winter,16,115,11,83,5,32,16,3,2010
N.Y. Jets,Miami,09/26/2010,Jerome Boger,15,133,9,81,6,52,17,3,2010
Green Bay,Chicago,09/27/2010,Terry McAulay,23,190,18,152,5,38,25,3,2010
N.Y. Jets,Buffalo,10/03/2010,Bill Leavy,7,62,4,30,3,32,9,4,2010
